season,week,game_type,quarter,quarter_type,home_team,home_full_name,home_division,home_conference,away_team,away_full_name,away_division,away_conference,home_team_score,away_team_score
2018,3,Regular season,4,Regulation,BAL,Baltimore Ravens,North,AFC,DEN,Denver Broncos,West,AFC,27,14
2018,3,Regular season,1,Regulation,WAS,Washington Commanders,East,NFC,GB,Green Bay Packers,North,NFC,14,0
2018,3,Regular season,2,Regulation,WAS,Washington Commanders,East,NFC,GB,Green Bay Packers,North,NFC,28,10
2018,3,Regular season,3,Regulation,WAS,Washington Commanders,East,NFC,GB,Green Bay Packers,North,NFC,28,17
2018,3,Regular season,4,Regulation,WAS,Washington Commanders,East,NFC,GB,Green Bay Packers,North,NFC,31,17
2018,3,Regular season,1,Regulation,PHI,Philadelphia Eagles,East,NFC,IND,Indianapolis Colts,South,AFC,7,7
2018,3,Regular season,2,Regulation,PHI,Philadelphia Eagles,East,NFC,IND,Indianapolis Colts,South,AFC,10,7
2018,3,Regular season,3,Regulation,PHI,Philadelphia Eagles,East,NFC,IND,Indianapolis Colts,South,AFC,13,13
2018,3,Regular season,4,Regulation,PHI,Philadelphia Eagles,East,NFC,IND,Indianapolis Colts,South,AFC,20,16
2018,3,Regular season,1,Regulation,LA,Los Angeles Rams,West,NFC,LAC,Los Angeles Chargers,West,AFC,14,6
2018,3,Regular season,2,Regulation,LA,Los Angeles Rams,West,NFC,LAC,Los Angeles Chargers,West,AFC,21,13
2018,3,Regular season,3,Regulation,LA,Los Angeles Rams,West,NFC,LAC,Los Angeles Chargers,West,AFC,35,20
2018,3,Regular season,4,Regulation,LA,Los Angeles Rams,West,NFC,LAC,Los Angeles Chargers,West,AFC,35,23
2018,3,Regular season,1,Regulation,DET,Detroit Lions,North,NFC,NE,New England Patriots,East,AFC,3,0
2018,3,Regular season,2,Regulation,DET,Detroit Lions,North,NFC,NE,New England Patriots,East,AFC,13,3
2018,3,Regular season,3,Regulation,DET,Detroit Lions,North,NFC,NE,New England Patriots,East,AFC,20,10
2018,3,Regular season,4,Regulation,DET,Detroit Lions,North,NFC,NE,New England Patriots,East,AFC,26,10
2018,3,Regular season,1,Regulation,ATL,Atlanta Falcons,South,NFC,NO,New Orleans Saints,South,NFC,7,7
2018,3,Regular season,2,Regulation,ATL,Atlanta Falcons,South,NFC,NO,New Orleans Saints,South,NFC,14,16
2018,3,Regular season,3,Regulation,ATL,Atlanta Falcons,South,NFC,NO,New Orleans Saints,South,NFC,21,23
2018,3,Regular season,4,Regulation,ATL,Atlanta Falcons,South,NFC,NO,New Orleans Saints,South,NFC,37,37
2018,3,Regular season,5,Overtime,ATL,Atlanta Falcons,South,NFC,NO,New Orleans Saints,South,NFC,37,43
2018,3,Regular season,1,Regulation,HOU,Houston Texans,South,AFC,NYG,New York Giants,East,NFC,3,7
2018,3,Regular season,2,Regulation,HOU,Houston Texans,South,AFC,NYG,New York Giants,East,NFC,6,20
2018,3,Regular season,3,Regulation,HOU,Houston Texans,South,AFC,NYG,New York Giants,East,NFC,9,20
2018,3,Regular season,4,Regulation,HOU,Houston Texans,South,AFC,NYG,New York Giants,East,NFC,22,27
2018,3,Regular season,1,Regulation,CLE,Cleveland Browns,North,AFC,NYJ,New York Jets,East,AFC,0,0
2018,3,Regular season,2,Regulation,CLE,Cleveland Browns,North,AFC,NYJ,New York Jets,East,AFC,3,14
2018,3,Regular season,3,Regulation,CLE,Cleveland Browns,North,AFC,NYJ,New York Jets,East,AFC,14,14
2018,3,Regular season,4,Regulation,CLE,Cleveland Browns,North,AFC,NYJ,New York Jets,East,AFC,21,17
2018,3,Regular season,1,Regulation,MIA,Miami Dolphins,East,AFC,LV,Las Vegas Raiders,West,AFC,0,7
